City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bluff,NZ,56.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Dunedin,NZ,58.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
4,Port Elizabeth,ZA,66.29,clear sky,-33.918,25.5701,39 On Nile Guest House
5,Pescia,IT,52.38,overcast clouds,43.897,10.6904,Villa delle Rose
6,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
7,Cape Town,ZA,70.09,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Vila Do Maio,CV,75.99,few clouds,15.1333,-23.2167,Hotel Marilu
11,Hithadhoo,MV,81.3,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Butaritari,KI,81.84,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
15,Pisco,PE,80.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
17,Mataura,NZ,56.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
18,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Atuona,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
20,Busselton,AU,58.08,scattered clouds,-33.65,115.3333,Observatory Guest House
21,Iranshahr,IR,62.31,clear sky,27.2025,60.6848,نیک سرشت
22,Port Lincoln,AU,64.99,clear sky,-34.7333,135.8667,Port Lincoln Hotel
24,Rikitea,PF,79.16,clear sky,-23.1203,-134.9692,People ThankYou
25,Ushuaia,AR,55.17,overcast clouds,-54.8,-68.3,Albatross Hotel
26,Punta Arenas,CL,57.31,clear sky,-53.15,-70.9167,Hotel Hain
28,Mackay,AU,74.68,scattered clouds,-21.15,149.2,International Lodge Motel
29,Bengkulu,ID,73.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Salaga,GH,89.24,few clouds,8.5508,-0.5188,Bore Nada Guest House
32,Senador Jose Porfirio,BR,81.34,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
33,Ewa Beach,US,80.1,clear sky,21.3156,-158.0072,Base Lodging
34,Bethel,US,54.45,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
35,Port Alfred,ZA,70.54,clear sky,-33.5906,26.891,The Halyards Hotel
36,Piacabucu,BR,81.28,clear sky,-10.4056,-36.4344,Piaçabuçu News
37,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
38,Rustenburg,ZA,70.43,clear sky,-25.6676,27.2421,Rustenburg Boutique Hotel
40,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
41,Bosaso,SO,73.74,scattered clouds,11.2842,49.1816,Red Sea Hotel
42,Quirinopolis,BR,77.07,broken clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
44,Ancud,CL,67.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
46,Dera Bugti,PK,57.65,clear sky,29.0307,69.151,Nawab Bugti House
47,Marsh Harbour,BS,74.5,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
48,Bredasdorp,ZA,64.27,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
50,Alofi,NU,81.46,clear sky,-19.0595,-169.9187,Taloa Heights
53,Chuy,UY,76.68,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
54,Faanui,PF,81.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,New Norfolk,AU,55.92,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
56,Idlib,SY,47.59,clear sky,35.9306,36.6339,مركز تسيل للتجميل
57,Codrington,AU,54.82,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
58,Ukiah,US,82.04,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
