City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,-23.85,100,55,5.35,broken clouds
1,Nemuro,JP,43.3236,145.575,22.87,74,79,7.85,broken clouds
2,Bluff,NZ,-46.6,168.3333,56.8,68,21,16.73,few clouds
3,Dunedin,NZ,-45.8742,170.5036,58.8,71,100,4.0,overcast clouds
4,Port Elizabeth,ZA,-33.918,25.5701,66.29,82,0,1.12,clear sky
5,Pescia,IT,43.897,10.6904,52.38,73,100,3.0,overcast clouds
6,Rio Grande,BR,-32.035,-52.0986,82.51,79,3,22.46,clear sky
7,Cape Town,ZA,-33.9258,18.4232,70.09,78,0,5.01,clear sky
8,Yar-Sale,RU,66.8333,70.8333,-0.36,81,100,17.31,overcast clouds
9,Vila Do Maio,CV,15.1333,-23.2167,75.99,75,22,12.44,few clouds
10,Nanortalik,GL,60.1432,-45.2371,29.55,82,100,8.25,overcast clouds
11,Hithadhoo,MV,-0.6,73.0833,81.3,71,100,8.19,overcast clouds
12,Butaritari,KI,3.0707,172.7902,81.84,78,86,15.19,overcast clouds
13,Aklavik,CA,68.2191,-135.0107,-19.3,94,25,7.76,scattered clouds
14,Altay,CN,47.8667,88.1167,0.27,75,15,8.57,few clouds
15,Pisco,PE,-13.7,-76.2167,80.65,54,0,20.71,clear sky
16,Leh,IN,34.1667,77.5833,-11.29,56,6,4.16,clear sky
17,Mataura,NZ,-46.1927,168.8643,56.48,60,95,6.04,overcast clouds
18,Kapaa,US,22.0752,-159.319,79.12,64,0,3.44,clear sky
19,Atuona,PF,-9.8,-139.0333,77.83,75,5,13.13,clear sky
20,Busselton,AU,-33.65,115.3333,58.08,91,43,5.26,scattered clouds
21,Iranshahr,IR,27.2025,60.6848,62.31,29,0,3.69,clear sky
22,Port Lincoln,AU,-34.7333,135.8667,64.99,74,0,13.51,clear sky
23,Bollnas,SE,61.3482,16.3946,26.38,62,71,12.73,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,79.16,73,3,16.44,clear sky
25,Ushuaia,AR,-54.8,-68.3,55.17,66,100,8.46,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,57.31,67,0,32.21,clear sky
27,Akureyri,IS,65.6835,-18.0878,9.21,99,100,2.44,overcast clouds
28,Mackay,AU,-21.15,149.2,74.68,69,43,9.08,scattered clouds
29,Bengkulu,ID,-3.8004,102.2655,73.92,88,100,4.03,overcast clouds
30,Salaga,GH,8.5508,-0.5188,89.24,16,11,3.83,few clouds
31,Ilulissat,GL,69.2167,-51.1,24.82,80,100,6.91,overcast clouds
32,Senador Jose Porfirio,BR,-2.5908,-51.9542,81.34,80,100,2.77,overcast clouds
33,Ewa Beach,US,21.3156,-158.0072,80.1,57,0,8.05,clear sky
34,Bethel,US,41.3712,-73.414,54.45,47,33,10.02,scattered clouds
35,Port Alfred,ZA,-33.5906,26.891,70.54,86,6,4.9,clear sky
